FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,BASE_DE
전통자수예다움,전라북도 정읍시 수성택지1길 3,45,45180,126.852231,35.578382,전북,2021-12-31
죽호바람,전라남도 구례군 광의면 하대2길 24,46,46730,127.444366,35.262286,전남,2021-12-31
칠량봉황옹기,전라남도 강진군 칠량면 칠량옹기로 179,46,46810,126.792658,34.556685,전남,2021-12-31
궤방한지공예,전라남도 순천시 삼산로 21 궤방한지공예,46,46150,127.485916,34.971288,전남,2021-12-31
장성공예사,전라남도 장성군 장성읍 영천로 115-2,46,46880,126.780667,35.29605,전남,2021-12-31
땅끝전통옹기,전라남도 해남군 송지면 월강길 16,46,46820,126.548159,34.418933,전남,2021-12-31
하연전통한지공예연구소,전라남도 곡성군 석곡면 석곡4길 4-3,46,46720,127.253933,35.131946,전남,2021-12-31
팔공산전통옹기,경상북도 경산시 와촌면 팔공로 361,47,47290,128.782039,35.959873,경북,2021-12-31
휴암옻칠공예문화원,경상북도 경산시 와촌면 하양로 454-10,47,47290,128.852924,35.925006,경북,2021-12-31
이숙자전통자수공예관,경상북도 경주시 동성로 84-2,47,47130,129.20966,35.843325,경북,2021-12-31
신라공예촌,경상북도 경주시 엑스포로 55-12,47,47130,129.298545,35.833754,경북,2021-12-31
고려전통옹기,경상북도 고령군 성산면 상용로 82,47,47830,128.372137,35.764814,경북,2021-12-31
려 우리옷,경상북도 구미시 금오산로 102,47,47190,128.333692,36.125066,경북,2021-12-31
다물공방,경상북도 구미시 선산읍 죽장2길 42-5,47,47190,128.282361,36.244419,경북,2021-12-31
무을공방,경상북도 구미시 옥계동 320,47,47190,128.422436,36.140135,경북,2021-12-31
가을나무공방,경상북도 문경시 호계면 별암리 73,47,47280,128.183138,36.653128,경북,2021-12-31
청동시대,경상북도 상주시 계산4길 3 상원그린타운 2차,47,47250,128.165563,36.426152,경북,2021-12-31
이목전통칠기공예연구소,경상북도 성주군 대가면 참별로 2331-16 이목공방,47,47840,128.236686,35.914319,경북,2021-12-31
안동한지,경상북도 안동시 풍산읍 나바우길 13,47,47170,128.554839,36.580961,경북,2021-12-31
하회동탈방,경상북도 안동시 풍천면 전서로 206,47,47170,128.527702,36.548947,경북,2021-12-31
운정,경상북도 영천시 최무선로 252-1 1층,47,47230,128.927978,35.965016,경북,2021-12-31
울진전통옹기,경상북도 울진군 근남면 매오길 61 울진전통옹기,47,47930,129.397047,36.952374,경북,2021-12-31
청도옻칠공예관,경상북도 청도군 화양읍 연지로 134,47,47820,128.69754,35.668709,경북,2021-12-31
다회공방,경상북도 칠곡군 동명면 한티로 20,47,47850,128.557924,35.980557,경북,2021-12-31
짚풀공예연구소흙내음풀내음,경상북도 포항시 북구 중앙로298번길 10 1층,47,47113,129.367268,36.039223,경북,2021-12-31
두부자공방,경상남도 거창군 거창읍 밤티재로 1273-26,48,48880,127.92991,35.669546,경남,2021-12-31
소연규방,경상남도 김해시 분성로48번길 8 한신상가 301호,48,48250,128.852791,35.23072,경남,2021-12-31
지아트,경상남도 김해시 율하2로 98-1,48,48250,128.812004,35.170399,경남,2021-12-31
국제탈공연예술촌,경상남도 남해군 이동면 남해대로 2412,48,48840,127.927578,34.817661,경남,2021-12-31
기림공방,경상남도 밀양시 미리벌중앙로1길 24-8,48,48270,128.747757,35.481549,경남,2021-12-31
짚풀사랑,경상남도 양산시 모래들길 11 평산조경,48,48330,129.160077,35.397485,경남,2021-12-31
토향재,경상남도 양산시 상북면 대석길 37 축사,48,48330,129.068327,35.390228,경남,2021-12-31
전통도예옹기장,경상남도 창녕군 남지읍 동포로 7-1,48,48740,128.481651,35.389944,경남,2021-12-31
신이의매듭세상,경상남도 창원시 성산구 비음로4번길 37-23 지하우측,48,48120,128.700041,35.226526,경남,2021-12-31
통영전통공예관,경상남도 통영시 도남로 281,48,48220,128.432926,34.826766,경남,2021-12-31
산인산방,경상남도 함안군 함안면 백암길 277-9,48,48730,128.438586,35.232515,경남,2021-12-31
오즈의마법사,경상남도 양산시 대운로 284 /2층,48,48330,129.176787,35.412655,경남,2021-12-31
강화도령 화문석,인천광역시 강화군 송해면 강화대로 891,28,28710,126.445671,37.767831,인천,2021-12-31
남원공예사,인천광역시 동구 화도진로 19,28,28140,126.635189,37.474732,인천,2021-12-31
